angle	  | quarter	  | number	  | comparison																																																																																																																																										
-199	  | 3		  | -2		  | 																																																																																																																																												
-198	  | 3		  | -2		  | 1F 																																																																																																																																												
-197	  | 3		  | -2		  | 1T 																																																																																																																																												
-196	  | 3		  | -2		  | 1T 1F 																																																																																																																																											
-195	  | 3		  | -2		  | 1F 																																																																																																																																												
-194	  | 3		  | -2		  | 1F 																																																																																																																																												
-193	  | 3		  | -2		  | 1T 																																																																																																																																												
-192	  | 3		  | -2		  | 1F 																																																																																																																																												
-191	  | 3		  | -2		  | 1F 																																																																																																																																												
-190	  | 3		  | -2		  | 1F 																																																																																																																																												
-189	  | 3		  | -2		  | 1F 																																																																																																																																												
-188	  | 3		  | -2		  | 1F 																																																																																																																																												
-187	  | 3		  | -2		  | 1T 																																																																																																																																												
-186	  | 3		  | -2		  | 2T 																																																																																																																																												
-185	  | 3		  | -2		  | 2T 																																																																																																																																												
-184	  | 3		  | -2		  | 1T 																																																																																																																																												
-183	  | 3		  | -2		  | 1F 																																																																																																																																												
-182	  | 3		  | -2		  | 1F 																																																																																																																																												
-181	  | 3		  | -2		  | 1F 																																																																																																																																												
-180	  | 3		  | -2		  | 4F 4T 5F 1T 2F 2T 																																																																																																																																								
-179	  | 2		  | -1		  | 1F 																																																																																																																																												
-178	  | 2		  | -1		  | 1F 																																																																																																																																												
-177	  | 2		  | -1		  | 1F 																																																																																																																																												
-176	  | 2		  | -1		  | 1T 																																																																																																																																												
-175	  | 2		  | -1		  | 2T 																																																																																																																																												
-174	  | 2		  | -1		  | 2T 																																																																																																																																												
-173	  | 2		  | -1		  | 1T 																																																																																																																																												
-172	  | 2		  | -1		  | 1F 																																																																																																																																												
-171	  | 2		  | -1		  | 1F 																																																																																																																																												
-170	  | 2		  | -1		  | 1F 																																																																																																																																												
-169	  | 2		  | -1		  | 1F 																																																																																																																																												
-168	  | 2		  | -1		  | 1F 																																																																																																																																												
-167	  | 2		  | -1		  | 1T 																																																																																																																																												
-166	  | 2		  | -1		  | 1F 																																																																																																																																												
-165	  | 2		  | -1		  | 1F 																																																																																																																																												
-164	  | 2		  | -1		  | 2T 																																																																																																																																												
-163	  | 2		  | -1		  | 1T 																																																																																																																																												
-162	  | 2		  | -1		  | 1F 																																																																																																																																												
-161	  | 2		  | -1		  | 1F 																																																																																																																																												
-160	  | 2		  | -1		  | 1T 																																																																																																																																												
-159	  | 2		  | -1		  | 1F 																																																																																																																																												
-158	  | 2		  | -1		  | 1F 																																																																																																																																												
-157	  | 2		  | -1		  | 1F 																																																																																																																																												
