Time,CH1,CH2,CH3,CH4
2,0.909297,3.141593,1.570796,0.582585
3,0.141120,3.141593,1.570796,0.703498
4,-0.756802,3.141593,1.570796,0.688460
5,-0.958924,2.566371,0.995574,0.511563
6,-0.279415,0.566371,1.004426,0.730416
7,0.656987,1.433629,0.137167,0.721193
8,0.989358,3.141593,1.570796,0.430302
9,0.412118,3.141593,1.570796,0.742714
10,-0.544021,3.141593,1.570796,0.739492
11,-0.999990,3.132741,1.561945,0.340429
12,-0.536573,1.132741,0.438055,0.740147
13,0.420167,0.867259,0.703538,0.742990
14,0.990607,2.867259,1.296462,0.424918
15,0.650288,3.141593,1.570796,0.722765
16,-0.287903,3.141593,1.570796,0.731617
17,-0.961397,3.141593,1.570796,0.506767
18,-0.750987,1.699112,0.128316,0.690918
19,0.149877,0.300888,1.269908,0.705600
20,0.912945,2.300888,0.730092,0.578473
21,0.836656,3.141593,1.570796,0.645242
22,-0.008851,3.141593,1.570796,0.665461
23,-0.846220,3.141593,1.570796,0.638601
24,-0.905578,2.265482,0.694686,0.586651
25,-0.132352,0.265482,1.305314,0.701341
26,0.762558,1.734518,0.163721,0.685948
27,0.956376,3.141593,1.570796,0.516319
28,0.270906,3.141593,1.570796,0.729157
29,-0.663634,3.141593,1.570796,0.719565
30,-0.988032,2.831853,1.261057,0.435652
31,-0.404038,0.831853,0.738943,0.742380
32,0.551427,1.168147,0.402649,0.738779
33,0.999912,3.141593,1.570796,0.346266
34,0.529083,3.141593,1.570796,0.740743
35,-0.428183,3.141593,1.570796,0.743208
36,-0.991779,3.141593,1.570796,0.419501
37,-0.643538,1.398224,0.172573,0.724281
38,0.296369,0.601776,0.969020,0.732761
39,0.963795,2.601776,1.030980,0.501932
40,0.745113,3.141593,1.570796,0.693322
41,-0.158623,3.141593,1.570796,0.707647
42,-0.916522,3.141593,1.570796,0.574316
43,-0.831775,1.964594,0.393798,0.648487
44,0.017702,0.035406,1.535391,0.668371
45,0.850904,2.035406,0.464609,0.635206
46,0.901788,3.141593,1.570796,0.590671
47,0.123573,3.141593,1.570796,0.699128
48,-0.768255,3.141593,1.570796,0.683382
49,-0.953753,2.530965,0.960169,0.521034
50,-0.262375,0.530965,1.039831,0.727842
51,0.670229,1.469035,0.101761,0.717880
52,0.986628,3.141593,1.570796,0.440968
53,0.395925,3.141593,1.570796,0.741987
54,-0.558789,3.141593,1.570796,0.738009
55,-0.999755,3.097336,1.526539,0.352076
56,-0.521551,1.097336,0.473461,0.741282
57,0.436165,0.902664,0.668132,0.743367
58,0.992873,2.902664,1.331868,0.414051
59,0.636738,3.141593,1.570796,0.725740
60,-0.304811,3.141593,1.570796,0.733847
61,-0.966118,3.141593,1.570796,0.497057
62,-0.739181,1.663706,0.092910,0.695672
63,0.167356,0.336294,1.234502,0.709639
64,0.920026,2.336294,0.765498,0.570114
65,0.826829,3.141593,1.570796,0.651680
66,-0.026551,3.141593,1.570796,0.671227
67,-0.855520,3.141593,1.570796,0.631760
68,-0.897928,2.230077,0.659280,0.594645
69,-0.114785,0.230077,1.340720,0.696861
70,0.773891,1.769923,0.199127,0.680762
71,0.951055,3.141593,1.570796,0.525709
72,0.253823,3.141593,1.570796,0.726469
73,-0.676772,3.141593,1.570796,0.716138
74,-0.985146,2.796447,1.225651,0.446250
75,-0.387782,0.796447,0.774349,0.741537
76,0.566108,1.203553,0.367244,0.737181
77,0.999520,3.141593,1.570796,0.357859
78,0.513978,3.141593,1.570796,0.741762
79,-0.444113,3.141593,1.570796,0.743469
80,-0.993889,3.141593,1.570796,0.408569
81,-0.629888,1.362818,0.207978,0.727142
82,0.313229,0.637182,0.933614,0.734876
83,0.968364,2.637182,1.066386,0.492143
84,0.733190,3.141593,1.570796,0.697967
85,-0.176076,3.141593,1.570796,0.711575
86,-0.923458,3.141593,1.570796,0.565867
87,-0.821818,1.929189,0.358392,0.654823
88,0.035398,0.070811,1.499985,0.674032
89,0.860069,2.070811,0.500015,0.628266
90,0.893997,3.141593,1.570796,0.598573
91,0.105988,3.141593,1.570796,0.694539
92,-0.779466,3.141593,1.570796,0.678089
93,-0.948282,2.495559,0.924763,0.530342
94,-0.245252,0.495559,1.075237,0.725039
95,0.683262,1.504441,0.066356,0.714341
96,0.983588,3.141593,1.570796,0.451496
97,0.379608,3.141593,1.570796,0.741028
98,-0.573382,3.141593,1.570796,0.736295
99,-0.999207,3.061930,1.491134,0.363614
100,-0.506366,1.061930,0.508866,0.742185
101,0.452026,0.938070,0.632726,0.743512
102,0.994827,2.938070,1.367274,0.403055
103,0.622989,3.141593,1.570796,0.728487
104,-0.321622,3.141593,1.570796,0.735848
105,-0.970535,3.141593,1.570796,0.487191
106,-0.727143,1.628300,0.057504,0.700208
